127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/default/index, HTTP/1.1, 200, 0.034309
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000992
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002130
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/js/jquery.js, HTTP/1.1, 304, 0.001239
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/css/calendar.css, HTTP/1.1, 304, 0.000605
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004058
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001197
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/js/calendar.js, HTTP/1.1, 304, 0.000762
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/js/web2py.js, HTTP/1.1, 304, 0.000980
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000586
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000894
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/js/share.js, HTTP/1.1, 304, 0.000544
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/images/facebook.png, HTTP/1.1, 304, 0.000454
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/images/gplus-32.png, HTTP/1.1, 304, 0.001105
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/images/twitter.png, HTTP/1.1, 304, 0.001928
127.0.0.1, 2015-11-12 16:36:52, GET, /ucmag/static/images/favicon.ico, HTTP/1.1, 200, 0.000517
